Body_Type,Diet,Gender,Social_Activity,How_Often_Shower,Heating_Energy_Source,Transport,Vehicle_Type,Waste_Bag_Size,Frequency_Travelling_Air,New_Clothes_Monthly,Waste_Bag_Weekly,Monthly_Grocery_Bill,Daily_TV_PC_Hour,Vehicle_Monthly_Distance,Energy_Efficiency
underweight,vegan,other,high,frequently,wood,hybrid,diesel,medium,never,14,7,136,1.01,3724,1.02
average,omnivore,female,high,frequently,gas,private,electric,large,rarely,4,4,277,11.57,3478,1.12
athletic,vegan,male,moderate,rarely,electricity,public,hybrid,extra large,rarely,0,4,479,5.23,2823,6.68
underweight,omnivore,female,moderate,daily,solar,hybrid,diesel,large,never,,5,323,10.51,4500,5.02
underweight,omnivore,other,moderate,twice a day,gas,private,petrol,medium,frequently,8,5,571,5.84,1181,1.01
average,vegan,other,high,daily,wood,private,hybrid,extra large,rarely,12,5,533,7.79,2047,3.28
athletic,vegetarian,other,moderate,daily,solar,private,electric,extra large,never,10,4,540,9.07,837,6.71
athletic,omnivore,other,high,daily,electricity,bike,electric,medium,frequently,8,5,457,6.42,1779,2.79
underweight,vegan,female,moderate,twice a day,electricity,public,petrol,medium,never,4,3,86,11.24,4823,8.07
overweight,pescetarian,male,high,rarely,gas,private,petrol,small,rarely,13,5,249,0.58,2266,3.52
underweight,vegan,female,moderate,twice a day,electricity,hybrid,electric,medium,rarely,15,,517,10.02,4793,9.48
underweight,pescetarian,male,moderate,twice a day,gas,private,petrol,large,frequently,1,2,92,8.25,1929,5.68
underweight,omnivore,other,moderate,rarely,electricity,public,petrol,extra large,rarely,14,2,259,3.97,3710,2.58
underweight,vegan,male,high,rarely,solar,bike,electric,small,never,16,4,330,5.64,2305,2.03
average,vegan,other,high,rarely,wood,private,hybrid,small,never,4,1,535,5.66,1699,
athletic,pescetarian,female,moderate,frequently,solar,hybrid,diesel,small,frequently,9,6,351,0.52,3881,7.33
average,vegan,male,high,frequently,wood,public,electric,extra large,frequently,14,2,216,6.42,3006,2.41
average,vegan,female,low,rarely,gas,private,petrol,small,frequently,19,4,383,0.79,507,9.45
average,omnivore,other,moderate,daily,electricity,bike,petrol,extra large,frequently,3,4,303,6.19,1118,3.82
underweight,vegan,female,moderate,frequently,solar,walk,hybrid,extra large,never,3,,286,2.58,4420,1.58
overweight,vegetarian,other,low,twice a day,electricity,hybrid,electric,small,never,6,3,471,10,1209,2.45
athletic,pescetarian,other,high,twice a day,gas,private,electric,extra large,never,0,5,384,0.83,4637,4.06
overweight,vegan,other,high,frequently,wood,private,petrol,small,never,19,6,162,3.54,2604,2.11
average,pescetarian,female,high,twice a day,solar,walk,electric,medium,frequently,,2,438,4.9,3331,
average,pescetarian,female,moderate,rarely,wood,public,petrol,large,rarely,18,3,452,7.23,2356,9.62
overweight,pescetarian,male,moderate,twice a day,wood,walk,petrol,medium,never,3,1,358,11.85,1785,7.82
overweight,vegan,male,moderate,frequently,gas,public,petrol,large,rarely,0,6,70,1.55,3136,6.54
overweight,vegan,female,moderate,daily,wood,private,diesel,extra large,frequently,0,4,350,4.47,3208,8.19
average,pescetarian,female,moderate,twice a day,gas,walk,petrol,extra large,frequently,2,6,580,8.17,263,2.39
average,vegetarian,female,high,twice a day,wood,private,hybrid,small,rarely,17,5,521,4.49,2833,4.4
athletic,pescetarian,female,low,daily,wood,walk,electric,medium,frequently,2,3,63,2.89,1838,2.92
athletic,vegetarian,other,high,frequently,solar,private,diesel,medium,rarely,2,3,271,9.78,1696,5.17
average,pescetarian,other,high,daily,gas,private,electric,extra large,never,12,3,317,2.25,3311,2.58
overweight,omnivore,other,moderate,twice a day,electricity,private,hybrid,medium,frequently,0,6,527,4.04,1789,8.35
overweight,pescetarian,female,low,frequently,electricity,bike,diesel,large,frequently,12,2,52,2.89,1391,8.21
athletic,pescetarian,other,low,rarely,electricity,walk,electric,extra large,rarely,4,7,168,11.53,2253,4.31
average,vegan,other,high,frequently,solar,bike,diesel,small,rarely,16,7,153,10.04,572,7.51
athletic,vegetarian,male,low,frequently,solar,private,petrol,small,rarely,10,6,401,5.53,4754,4.83
athletic,omnivore,male,high,rarely,wood,hybrid,petrol,extra large,rarely,9,3,515,10.08,1473,3.56
underweight,vegetarian,other,high,frequently,wood,public,electric,extra large,rarely,14,6,422,8.19,1131,3.48
underweight,omnivore,other,high,twice a day,electricity,walk,hybrid,small,frequently,12,4,560,4.28,4666,5.41
underweight,pescetarian,other,high,twice a day,wood,walk,diesel,large,rarely,9,3,542,2.51,3252,1.11
overweight,vegan,female,moderate,twice a day,wood,public,diesel,medium,never,8,7,76,4.33,743,7.4
average,vegan,male,low,twice a day,solar,bike,electric,extra large,rarely,6,6,207,6.22,2852,4.51
average,vegetarian,male,moderate,rarely,electricity,public,petrol,extra large,frequently,9,1,230,2.4,3351,2.26
average,vegan,male,moderate,twice a day,gas,hybrid,diesel,large,never,8,3,350,3.28,3146,6.71
average,vegetarian,other,moderate,frequently,electricity,private,petrol,small,frequently,12,5,249,7.76,3435,7.79
underweight,vegetarian,female,high,daily,solar,public,petrol,extra large,rarely,15,5,494,8.69,1540,2.06
